subject,topic
C ++,C++ 2.mp4
C ++,C++ 3.mp4
C ++,C++ 4.mp4
C ++,C++ 5.mp4
C ++,C++ Arrays.mp4
C ++,C++ File Handling and Exceptional Handling.mp4
C ++,C++ Inheritance.mp4
C ++,C++ Polymorphism.mp4
C ++,C++ String.mp4
C ++,C++.mp4
C ++,C++Class _ Objects.mp4
C Programming,Lesson 1 - Introduction.mp4
C Programming,Lesson 2 - Data Types and Variables.mp4
C Programming,Lesson 3 - Operators and Expression.mp4
C Programming,Lesson 4 - Control Statement.mp4
C Programming,Lesson 5 - Arrays.mp4
C Programming,Lesson 6 - Strings.mp4
C Programming,Lesson 7 -  Functions.mp4
C Programming,Lesson 8 - Properties.mp4
Canva,Canva (10).mp4
Canva,Canva (11).mp4
Canva,Canva (2).mp4
Canva,Canva (3).mp4
Canva,Canva (4).mp4
Canva,Canva (5).mp4
Canva,Canva (6).mp4
Canva,Canva (7).mp4
Canva,Canva (8).mp4
Canva,Canva (9).mp4
Canva,Canva.mp4
Chat GPT,0001 - Introduction to the Tutorial Masterclass.mp4
Chat GPT,0002 - ChatGPT Conversation Conventions.mp4
Chat GPT,0003 - Google Talk To Books.mp4
Chat GPT,0004 - ChatGPT Workaround for Up To Date Statistical Information.mp4
Chat GPT,0005 - Choosing a Sales Letter Framework.mp4
Chat GPT,0006 - ChatGPT - Ask for Image Prompts.mp4
Chat GPT,0007 - Canva Text to Image for ChatGPT Sales Presentation.mp4
Chat GPT,0008 - Use ChatGPT to Write Headlines and Sub Headlines.mp4
Chat GPT,0009 - ChatGPT Thank You Page Script.mp4
Chat GPT,0010 - Launch E-Mails to Customers.mp4
Chat GPT,0011 - ChatGPT Launch E-Mails to Affiliates.mp4
Chat GPT,0012 - ChatGPT Script for a Sales Video.mp4
Chat GPT,0013 - AI with PowerPoint Presentation Coach.mp4
Chat GPT,0014 - AI with PowerPoint -Design and Accessibility.mp4
Chat GPT,0015 - ChatGPT - Write a Welcome E-Mail.mp4
Chat GPT,0016- ChatGPT Suggests a Layout and Order for the Sales Page.mp4
Chat GPT,0017 - ChatGPT Suggests Colors and Background For the Sales Page Layout.mp4
Chat GPT,0018 - ChatGPT Earnings Disclaimers.mp4
Chat GPT,0019 - ChatGPT Creates the Copy for the Opt-In Page.mp4
Chat GPT,0020 - ChatGPT - Creates the Opt-In E-Mail with Sales Message.mp4
CSS,Lesson 1 - Introduction to CSS.mp4
CSS,Lesson 2 - CSS Selectors.mp4
CSS,Lesson 3 - CSS Box model.mp4
CSS,Lesson 4 - CSS Text Styling.mp4
CSS,Lesson 5 - CSS Background and borders.mp4
CSS,Lesson 6 - CSS Layout.mp4
CSS,Lesson 7 - CSS Responsive design.mp4
CSS,Lesson 8 CSS animation and Transitions.mp4
HTML,HTML Lesson 1 - What is HTML.mp4
HTML,HTML LESSON 2 - What is Tags.mp4
HTML,HTML Lesson 3 - Formattings.mp4
HTML,HTML Lesson 4 - Links.mp4
HTML,HTML LESSON 5 - Images.mp4
HTML,HTML Lesson 6 - Tables.mp4
HTML,HTML Lesson 7 - Forms and Validations.mp4
Java,Java (10).mp4
Java,Java (11).mp4
Java,Java (2).mp4
Java,Java (3).mp4
Java,Java (4).mp4
Java,Java (5).mp4
Java,Java (6).mp4
Java,Java (7).mp4
Java,Java (8).mp4
Java,Java (9).mp4
Java,Java.mp4
JS,Lesson 1 - JS Introduction.mp4
JS,Lesson 2 - JS Data Type and Variables.mp4
JS,Lesson 4 - JS Functions.mp4
JS,Lesson 5 - JS Conditional Statement and Loops.mp4
JS,Lesson 6 -  JS Arrays.mp4
JS,Lesson 7 - JS Objects.mp4
JS,Lesson 8 - JS Events.mp4
JS,Lessson 3 - JS Operators and Expressions.mp4
